Fecha,Hora,Departamento,Temperatura_C,Humedad_%,Lluvia_mm,Recomendacion_Siembra
2025-01-01,0,San Salvador,30.8,87.0,0.75,No óptima - Baja humedad o extremo temp
2025-01-01,6,San Miguel,31.2,85.0,0.75,No óptima - Baja humedad o extremo temp
2025-01-01,12,Santa Ana,25.9,75.0,0.25,Buena para Maíz/Frijol
2025-01-01,18,San Miguel,33.0,70.0,3.0,No óptima - Baja humedad o extremo temp
2025-01-02,0,San Miguel,26.6,86.0,0.1,Buena para Maíz/Frijol
2025-01-02,6,San Salvador,31.7,100.0,0.65,No óptima - Baja humedad o extremo temp
2025-01-02,12,Santa Ana,30.6,93.0,0.3,No óptima - Baja humedad o extremo temp
2025-01-02,18,San Salvador,29.2,81.0,0.85,Buena para Maíz/Frijol
2025-01-03,0,La Libertad,30.0,87.0,2.05,Buena para Maíz/Frijol
2025-01-03,6,Santa Ana,22.8,84.0,0.35,Buena para Maíz/Frijol
2025-01-03,12,La Libertad,25.7,94.0,0.6,No óptima - Baja humedad o extremo temp
2025-01-03,18,Santa Ana,30.6,81.0,0.1,No óptima - Baja humedad o extremo temp
2025-01-04,0,Santa Ana,24.8,67.0,2.5,Buena para Maíz/Frijol
2025-01-04,6,San Salvador,26.9,75.0,6.65,Buena para Maíz/Frijol
2025-01-04,12,Santa Ana,23.9,84.0,0.3,Buena para Maíz/Frijol
2025-01-04,18,Santa Ana,23.3,72.0,0.45,Buena para Maíz/Frijol
2025-01-05,0,Chalatenango,25.7,90.0,4.9,Buena para Maíz/Frijol
2025-01-05,6,San Salvador,26.1,90.0,1.55,Buena para Maíz/Frijol
2025-01-05,12,San Miguel,20.4,90.0,0.55,Buena para Maíz/Frijol
2025-01-05,18,La Libertad,26.7,81.0,2.15,Buena para Maíz/Frijol
2025-01-06,0,Santa Ana,32.0,91.0,0.05,No óptima - Baja humedad o extremo temp
2025-01-06,6,San Miguel,25.2,97.0,2.7,No óptima - Baja humedad o extremo temp
2025-01-06,12,La Libertad,28.0,76.0,2.6,Buena para Maíz/Frijol
2025-01-06,18,Sonsonate,24.6,88.0,1.2,Buena para Maíz/Frijol
2025-01-07,0,Santa Ana,31.3,73.0,1.35,No óptima - Baja humedad o extremo temp
2025-01-07,6,Santa Ana,24.9,93.0,0.75,No óptima - Baja humedad o extremo temp
2025-01-07,12,San Miguel,22.6,84.0,0.3,Buena para Maíz/Frijol
2025-01-07,18,San Miguel,24.1,73.0,0.5,Buena para Maíz/Frijol
2025-01-08,0,San Salvador,29.7,56.0,1.35,No óptima - Baja humedad o extremo temp
2025-01-08,6,San Salvador,27.5,75.0,1.9,Buena para Maíz/Frijol
2025-01-08,12,San Salvador,22.5,91.0,2.4,No óptima - Baja humedad o extremo temp
2025-01-08,18,San Salvador,20.7,74.0,0.05,Buena para Maíz/Frijol
2025-01-09,0,Chalatenango,26.3,95.0,2.5,No óptima - Baja humedad o extremo temp
2025-01-09,6,La Libertad,30.5,98.0,0.9,No óptima - Baja humedad o extremo temp
2025-01-09,12,La Libertad,29.2,85.0,1.2,Buena para Maíz/Frijol
2025-01-09,18,San Salvador,25.3,83.0,0.0,Buena para Maíz/Frijol
2025-01-10,0,Usulután,27.7,81.0,3.45,Buena para Maíz/Frijol
2025-01-10,6,Chalatenango,33.0,86.0,0.4,No óptima - Baja humedad o extremo temp
2025-01-10,12,Santa Ana,24.6,71.0,1.4,Buena para Maíz/Frijol
2025-01-10,18,Santa Ana,27.0,84.0,3.0,Buena para Maíz/Frijol
2025-01-11,0,San Salvador,22.9,84.0,0.9,Buena para Maíz/Frijol
2025-01-11,6,San Salvador,30.9,64.0,1.4,No óptima - Baja humedad o extremo temp
2025-01-11,12,Santa Ana,18.0,71.0,0.65,No óptima - Baja humedad o extremo temp
2025-01-11,18,La Libertad,19.8,71.0,0.3,No óptima - Baja humedad o extremo temp
2025-01-12,0,Santa Ana,18.6,68.0,0.4,No óptima - Baja humedad o extremo temp
2025-01-12,6,La Libertad,26.2,75.0,1.25,Buena para Maíz/Frijol
2025-01-12,12,San Salvador,24.4,81.0,0.35,Buena para Maíz/Frijol
2025-01-12,18,La Libertad,24.3,64.0,3.45,Buena para Maíz/Frijol
2025-01-13,0,San Salvador,27.8,80.0,0.35,Buena para Maíz/Frijol
2025-01-13,6,Chalatenango,30.2,99.0,0.45,No óptima - Baja humedad o extremo temp
2025-01-13,12,San Salvador,18.0,71.0,5.85,No óptima - Baja humedad o extremo temp
2025-01-13,18,Sonsonate,23.0,76.0,1.7,Buena para Maíz/Frijol
2025-01-14,0,Usulután,25.1,92.0,2.85,No óptima - Baja humedad o extremo temp
2025-01-14,6,Santa Ana,19.3,62.0,0.05,No óptima - Baja humedad o extremo temp
2025-01-14,12,San Miguel,25.2,77.0,0.75,Buena para Maíz/Frijol
2025-01-14,18,Santa Ana,27.7,83.0,1.2,Buena para Maíz/Frijol
2025-01-15,0,San Salvador,20.1,82.0,0.65,Buena para Maíz/Frijol
2025-01-15,6,San Salvador,19.6,85.0,0.35,No óptima - Baja humedad o extremo temp
2025-01-15,12,Sonsonate,27.6,71.0,0.95,Buena para Maíz/Frijol
2025-01-15,18,San Salvador,26.0,83.0,2.5,Buena para Maíz/Frijol
2025-01-16,0,Sonsonate,23.6,68.0,0.7,Buena para Maíz/Frijol
2025-01-16,6,Usulután,32.5,82.0,2.65,No óptima - Baja humedad o extremo temp
2025-01-16,12,San Miguel,22.0,86.0,0.15,Buena para Maíz/Frijol
2025-01-16,18,Chalatenango,20.7,82.0,4.3,Buena para Maíz/Frijol
2025-01-17,0,La Libertad,22.8,89.0,4.95,Buena para Maíz/Frijol
2025-01-17,6,San Salvador,28.1,84.0,2.8,Buena para Maíz/Frijol
2025-01-17,12,San Miguel,26.3,87.0,3.55,Buena para Maíz/Frijol
2025-01-17,18,San Miguel,30.6,80.0,2.3,No óptima - Baja humedad o extremo temp
2025-01-18,0,Santa Ana,24.8,89.0,1.6,Buena para Maíz/Frijol
2025-01-18,6,San Salvador,29.1,99.0,0.95,No óptima - Baja humedad o extremo temp
2025-01-18,12,Santa Ana,31.2,87.0,1.4,No óptima - Baja humedad o extremo temp
2025-01-18,18,Usulután,27.8,92.0,0.7,No óptima - Baja humedad o extremo temp
2025-01-19,0,Chalatenango,24.3,82.0,8.35,Buena para Maíz/Frijol
2025-01-19,6,San Miguel,24.9,75.0,2.45,Buena para Maíz/Frijol
2025-01-19,12,La Libertad,28.0,96.0,0.75,No óptima - Baja humedad o extremo temp
2025-01-19,18,San Salvador,21.6,79.0,0.35,Buena para Maíz/Frijol
2025-01-20,0,San Salvador,26.2,92.0,0.45,No óptima - Baja humedad o extremo temp
2025-01-20,6,San Salvador,21.8,86.0,1.1,Buena para Maíz/Frijol
2025-01-20,12,Chalatenango,19.4,75.0,0.85,No óptima - Baja humedad o extremo temp
2025-01-20,18,Santa Ana,22.0,79.0,0.45,Buena para Maíz/Frijol
2025-01-21,0,Usulután,23.2,93.0,1.0,No óptima - Baja humedad o extremo temp
2025-01-21,6,San Salvador,25.5,79.0,5.7,Buena para Maíz/Frijol
2025-01-21,12,Santa Ana,18.0,70.0,0.65,No óptima - Baja humedad o extremo temp
2025-01-21,18,San Miguel,30.7,83.0,5.45,No óptima - Baja humedad o extremo temp
2025-01-22,0,Chalatenango,27.8,72.0,0.2,Buena para Maíz/Frijol
2025-01-22,6,Usulután,24.2,79.0,0.45,Buena para Maíz/Frijol
2025-01-22,12,San Salvador,23.8,77.0,0.2,Buena para Maíz/Frijol
2025-01-22,18,Usulután,26.9,79.0,2.65,Buena para Maíz/Frijol
2025-01-23,0,La Libertad,31.1,97.0,0.4,No óptima - Baja humedad o extremo temp
2025-01-23,6,San Miguel,28.1,93.0,0.95,No óptima - Baja humedad o extremo temp
2025-01-23,12,Usulután,21.9,82.0,0.85,Buena para Maíz/Frijol
2025-01-23,18,Sonsonate,20.7,80.0,3.65,Buena para Maíz/Frijol
2025-01-24,0,Usulután,24.7,74.0,0.05,Buena para Maíz/Frijol
2025-01-24,6,San Salvador,18.0,76.0,1.7,No óptima - Baja humedad o extremo temp
2025-01-24,12,Santa Ana,19.3,74.0,2.35,No óptima - Baja humedad o extremo temp
2025-01-24,18,San Salvador,21.8,60.0,1.05,Buena para Maíz/Frijol
2025-01-25,0,La Libertad,34.5,89.0,0.3,No óptima - Baja humedad o extremo temp
2025-01-25,6,Sonsonate,31.1,79.0,2.8,No óptima - Baja humedad o extremo temp
2025-01-25,12,Chalatenango,28.1,91.0,0.35,No óptima - Baja humedad o extremo temp
2025-01-25,18,Sonsonate,26.9,85.0,0.8,Buena para Maíz/Frijol
2025-01-26,0,Santa Ana,27.6,68.0,0.1,Buena para Maíz/Frijol
2025-01-26,6,Usulután,34.7,94.0,5.25,No óptima - Baja humedad o extremo temp
2025-01-26,12,San Salvador,21.0,84.0,0.5,Buena para Maíz/Frijol
2025-01-26,18,La Libertad,30.2,91.0,3.85,No óptima - Baja humedad o extremo temp
2025-01-27,0,Santa Ana,29.3,75.0,1.6,Buena para Maíz/Frijol
2025-01-27,6,San Salvador,27.9,70.0,0.05,Buena para Maíz/Frijol
2025-01-27,12,La Libertad,28.9,78.0,0.95,Buena para Maíz/Frijol
2025-01-27,18,San Salvador,22.1,83.0,0.35,Buena para Maíz/Frijol
2025-01-28,0,San Miguel,27.3,74.0,3.75,Buena para Maíz/Frijol
2025-01-28,6,San Miguel,23.0,74.0,4.85,Buena para Maíz/Frijol
2025-01-28,12,San Salvador,23.4,85.0,0.7,Buena para Maíz/Frijol
2025-01-28,18,Santa Ana,24.7,78.0,0.2,Buena para Maíz/Frijol
2025-01-29,0,Sonsonate,23.9,76.0,0.2,Buena para Maíz/Frijol
2025-01-29,6,San Miguel,30.1,93.0,3.6,No óptima - Baja humedad o extremo temp
2025-01-29,12,San Salvador,32.7,84.0,0.3,No óptima - Baja humedad o extremo temp
2025-01-29,18,La Libertad,31.9,84.0,0.1,No óptima - Baja humedad o extremo temp
2025-01-30,0,San Salvador,28.6,88.0,3.3,Buena para Maíz/Frijol
2025-01-30,6,Chalatenango,18.0,81.0,5.15,No óptima - Baja humedad o extremo temp
2025-01-30,12,Usulután,25.0,88.0,0.35,Buena para Maíz/Frijol
2025-01-30,18,Usulután,24.9,68.0,1.1,Buena para Maíz/Frijol
2025-01-31,0,La Libertad,22.1,60.0,0.2,Buena para Maíz/Frijol
2025-01-31,6,Santa Ana,29.2,71.0,3.55,Buena para Maíz/Frijol
2025-01-31,12,San Salvador,24.9,83.0,0.35,Buena para Maíz/Frijol
2025-01-31,18,San Salvador,30.6,95.0,0.8,No óptima - Baja humedad o extremo temp
2025-02-01,0,Usulután,21.9,83.0,0.15,Buena para Maíz/Frijol
2025-02-01,6,San Salvador,24.0,80.0,3.0,Buena para Maíz/Frijol
2025-02-01,12,Sonsonate,23.3,87.0,0.45,Buena para Maíz/Frijol
2025-02-01,18,Usulután,24.3,99.0,0.75,No óptima - Baja humedad o extremo temp
2025-02-02,0,La Libertad,28.4,66.0,1.3,Buena para Maíz/Frijol
2025-02-02,6,La Libertad,23.5,89.0,0.6,Buena para Maíz/Frijol
2025-02-02,12,Usulután,26.6,81.0,0.0,Buena para Maíz/Frijol
2025-02-02,18,Usulután,30.8,76.0,5.75,No óptima - Baja humedad o extremo temp
2025-02-03,0,Sonsonate,25.0,73.0,1.15,Buena para Maíz/Frijol
2025-02-03,6,San Salvador,24.2,78.0,1.05,Buena para Maíz/Frijol
2025-02-03,12,Sonsonate,18.0,79.0,0.9,No óptima - Baja humedad o extremo temp
2025-02-03,18,San Salvador,26.5,68.0,2.15,Buena para Maíz/Frijol
2025-02-04,0,San Miguel,28.8,74.0,0.45,Buena para Maíz/Frijol
2025-02-04,6,Chalatenango,24.3,79.0,0.4,Buena para Maíz/Frijol
2025-02-04,12,Chalatenango,28.9,64.0,3.55,Buena para Maíz/Frijol
2025-02-04,18,La Libertad,27.8,79.0,2.5,Buena para Maíz/Frijol
2025-02-05,0,San Salvador,30.2,81.0,0.65,No óptima - Baja humedad o extremo temp
2025-02-05,6,La Libertad,28.0,76.0,0.5,Buena para Maíz/Frijol
2025-02-05,12,San Salvador,20.0,88.0,0.25,Buena para Maíz/Frijol
2025-02-05,18,San Miguel,25.1,89.0,2.8,Buena para Maíz/Frijol
2025-02-06,0,Usulután,36.0,58.0,0.4,No óptima - Baja humedad o extremo temp
2025-02-06,6,La Libertad,28.3,70.0,0.5,Buena para Maíz/Frijol
2025-02-06,12,San Salvador,27.3,82.0,0.05,Buena para Maíz/Frijol
2025-02-06,18,Usulután,28.1,50.0,1.9,No óptima - Baja humedad o extremo temp
2025-02-07,0,San Salvador,22.7,87.0,0.1,Buena para Maíz/Frijol
2025-02-07,6,San Salvador,28.8,75.0,0.2,Buena para Maíz/Frijol
2025-02-07,12,San Salvador,20.3,81.0,0.35,Buena para Maíz/Frijol
2025-02-07,18,San Miguel,28.8,100.0,0.3,No óptima - Baja humedad o extremo temp
2025-02-08,0,San Salvador,31.1,90.0,0.7,No óptima - Baja humedad o extremo temp
2025-02-08,6,La Libertad,24.0,100.0,0.9,No óptima - Baja humedad o extremo temp
2025-02-08,12,La Libertad,27.6,82.0,2.75,Buena para Maíz/Frijol
2025-02-08,18,La Libertad,25.0,88.0,3.85,Buena para Maíz/Frijol
2025-02-09,0,San Salvador,21.5,73.0,4.45,Buena para Maíz/Frijol
2025-02-09,6,La Libertad,31.9,93.0,0.05,No óptima - Baja humedad o extremo temp
2025-02-09,12,Chalatenango,27.8,62.0,0.3,Buena para Maíz/Frijol
2025-02-09,18,San Salvador,26.4,75.0,1.15,Buena para Maíz/Frijol
2025-02-10,0,Sonsonate,25.0,91.0,0.25,No óptima - Baja humedad o extremo temp
2025-02-10,6,La Libertad,26.1,66.0,0.25,Buena para Maíz/Frijol
